timestamps,sine,cosine,square,sawtooth,triangle,pwm,step
0.0,0.0,0.0,1.0,-1.0,-1.0,1.0,0.0
0.009999999776482582,0.06279052048921585,0.06279052048921585,1.0,-0.9800000190734863,-0.9599999785423279,1.0,0.0
0.019999999552965164,0.12533323466777802,0.12533323466777802,1.0,-0.9599999785423279,-0.9200000166893005,1.0,0.0
0.029999999329447746,0.187381312251091,0.187381312251091,1.0,-0.9399999976158142,-0.8799999952316284,1.0,0.0
0.03999999910593033,0.2486899048089981,0.2486899048089981,1.0,-0.9200000166893005,-0.8400000333786011,1.0,0.0
0.04999999701976776,0.30901697278022766,0.30901697278022766,1.0,-0.8999999761581421,-0.800000011920929,1.0,0.0
0.05999999865889549,0.3681245446205139,0.3681245446205139,1.0,-0.8799999952316284,-0.7599999904632568,1.0,0.0
0.07000000029802322,0.4257792830467224,0.4257792830467224,1.0,-0.8600000143051147,-0.7200000286102295,1.0,0.0
0.07999999821186066,0.48175370693206787,0.48175370693206787,1.0,-0.8400000333786011,-0.6800000071525574,1.0,0.0
0.08999999612569809,0.5358268022537231,0.5358268022537231,1.0,-0.8199999928474426,-0.6399999856948853,1.0,0.0
0.09999999403953552,0.5877852439880371,0.5877852439880371,1.0,-0.800000011920929,-0.6000000238418579,1.0,0.0
0.10999999940395355,0.6374240517616272,0.6374240517616272,1.0,-0.7799999713897705,-0.559999942779541,1.0,0.0
0.11999999731779099,0.6845471262931824,0.6845471262931824,1.0,-0.7599999904632568,-0.5199999809265137,1.0,0.0
0.12999999523162842,0.728968620300293,0.728968620300293,1.0,-0.7400000095367432,-0.48000001907348633,1.0,0.0
0.14000000059604645,0.7705132365226746,0.7705132365226746,1.0,-0.7200000286102295,-0.4399999976158142,1.0,0.0
0.14999999105930328,0.80901700258255,0.80901700258255,1.0,-0.7000000476837158,-0.40000003576278687,1.0,0.0
0.1599999964237213,0.8443279266357422,0.8443279266357422,1.0,-0.6800000071525574,-0.36000001430511475,1.0,0.0
0.17000000178813934,0.8763067126274109,0.8763067126274109,1.0,-0.6599999666213989,-0.3199999928474426,1.0,0.0
0.17999999225139618,0.9048270583152771,0.9048270583152771,1.0,-0.6399999856948853,-0.2800000309944153,1.0,0.0
0.1899999976158142,0.9297764897346497,0.9297764897346497,1.0,-0.6200000047683716,-0.24000000953674316,1.0,0.0
0.19999998807907104,0.9510564804077148,0.9510564804077148,1.0,-0.6000000238418579,-0.20000004768371582,1.0,0.0
0.20999999344348907,0.9685831665992737,0.9685831665992737,1.0,-0.5800000429153442,-0.16000008583068848,1.0,0.0
0.2199999988079071,0.9822872877120972,0.9822872877120972,1.0,-0.559999942779541,-0.1199999451637268,1.0,0.0
0.22999998927116394,0.9921147227287292,0.9921147227287292,1.0,-0.5400000214576721,-0.08000004291534424,1.0,0.0
0.23999999463558197,0.9980267286300659,0.9980267286300659,1.0,-0.5199999809265137,-0.04000002145767212,1.0,0.0
0.25,1.0,1.0,1.0,-0.5,0.0,1.0,0.0
0.25999999046325684,0.9980267286300659,0.9980267286300659,1.0,-0.48000001907348633,0.039999961853027344,1.0,0.0
0.26999998092651367,0.9921147227287292,0.9921147227287292,1.0,-0.46000003814697266,0.07999992370605469,1.0,0.0
0.2800000011920929,0.9822872281074524,0.9822872281074524,1.0,-0.4399999976158142,0.12000000476837158,1.0,0.0
0.28999999165534973,0.9685831665992737,0.9685831665992737,1.0,-0.42000001668930054,0.15999996662139893,1.0,0.0
0.29999998211860657,0.9510565400123596,0.9510565400123596,1.0,-0.40000003576278687,0.19999992847442627,1.0,0.0
0.3100000023841858,0.9297764301300049,0.9297764301300049,1.0,-0.3799999952316284,0.24000000953674316,1.0,0.0
0.3199999928474426,0.9048269987106323,0.9048269987106323,1.0,-0.36000001430511475,0.2799999713897705,1.0,0.0
0.32999998331069946,0.8763067126274109,0.8763067126274109,1.0,-0.3400000333786011,0.31999993324279785,1.0,0.0
0.3400000035762787,0.8443278670310974,0.8443278670310974,1.0,-0.3199999928474426,0.36000001430511475,1.0,0.0
0.3499999940395355,0.80901700258255,0.80901700258255,1.0,-0.30000001192092896,0.3999999761581421,1.0,0.0
0.35999998450279236,0.7705132365226746,0.7705132365226746,1.0,-0.2800000309944153,0.43999993801116943,1.0,0.0
0.3700000047683716,0.728968620300293,0.728968620300293,1.0,-0.2600000500679016,0.4799998998641968,1.0,0.0
0.3799999952316284,0.6845470666885376,0.6845470666885376,1.0,-0.24000000953674316,0.5199999809265137,1.0,0.0
0.38999998569488525,0.6374239325523376,0.6374239325523376,1.0,-0.2200000286102295,0.559999942779541,1.0,0.0
0.3999999761581421,0.5877853631973267,0.5877853631973267,1.0,-0.20000004768371582,0.5999999046325684,1.0,0.0
0.4099999964237213,0.5358266830444336,0.5358266830444336,1.0,-0.18000000715255737,0.6399999856948853,1.0,0.0
0.41999998688697815,0.48175376653671265,0.48175376653671265,1.0,-0.16000008583068848,0.679999828338623,1.0,0.0
0.429999977350235,0.4257793724536896,0.4257793724536896,1.0,-0.14000004529953003,0.7199999094009399,1.0,0.0
0.4399999976158142,0.368124395608902,0.368124395608902,1.0,-0.1199999451637268,0.7600001096725464,1.0,0.0
0.44999998807907104,0.30901703238487244,0.30901703238487244,1.0,-0.10000002384185791,0.7999999523162842,1.0,0.0
0.4599999785423279,0.2486899048089981,0.2486899048089981,1.0,-0.08000004291534424,0.8399999141693115,1.0,0.0
0.4699999988079071,0.1873812973499298,0.1873812973499298,1.0,-0.06000000238418579,0.8799999952316284,1.0,0.0
0.47999998927116394,0.12533320486545563,0.12533320486545563,1.0,-0.04000002145767212,0.9199999570846558,1.0,0.0
0.4899999797344208,0.06279046088457108,0.06279046088457108,1.0,-0.019999980926513672,0.9600000381469727,1.0,0.0
0.5,-8.742277657347586e-08,-8.742277657347586e-08,-1.0,0.0,0.9999999403953552,0.0,0.0
0.5099999904632568,-0.0627906322479248,-0.0627906322479248,-1.0,0.019999980926513672,0.9599999189376831,0.0,0.0
0.5199999809265137,-0.12533313035964966,-0.12533313035964966,-1.0,0.039999961853027344,0.9200000166893005,0.0,0.0
0.5299999713897705,-0.18738123774528503,-0.18738123774528503,-1.0,0.059999942779541016,0.8800000548362732,0.0,0.0
